OSEBuildingID,Campus,NonResidential,Age_Built,AgeBuilt_classe,NumberofBuildings,NumberofFloors_classe,PropertyGFATotal_log,PropertyGFAParking_log,TotalPropertyUseTypes,PrimaryPropertyType,LargestPropertyUseTypeGFA_rel,SecondLargestPropertyUseTypeGFA_rel,ThirdLargestPropertyUseTypeGFA_rel,NaturalGas(kBtu)_bin,SteamUse(kBtu)_bin,ENERGYSTARScore,ENERGYSTARScore_imputed,SiteEnergyUse(kBtu),TotalGHGEmissions
25657,0,1,122,4,1.0,0,10.245053934794061,0.0,1,Small- and Mid-Sized Office,1.0,0.0,0.0,1,1,96.0,96.0,847097.8125,34.08
25658,0,1,122,4,1.0,0,10.266775581745106,0.0,3,Small- and Mid-Sized Office,0.4281641168289291,0.20931849791376914,0.2086230876216968,1,1,,84.0,2615973.5,124.59
25659,0,1,120,4,1.0,2,10.572111481163375,0.0,2,Small- and Mid-Sized Office,0.8199077632590315,0.17127850371509096,0.0,1,0,99.0,98.99999999999999,713326.875,13.69
25661,0,1,113,4,0.0,0,10.76248809718272,0.0,2,Small- and Mid-Sized Office,0.5010907550566557,0.47391718733453353,0.0,1,0,58.0,57.99999999999999,2092696.0,63.81
25663,0,1,96,3,1.0,1,11.02810866038529,10.203629181337648,2,Other,0.5891523221825268,0.37599870087690807,0.0,1,0,,43.6,4199443.0,69.53
25664,0,1,105,4,1.0,0,10.332701738815134,0.0,2,Small- and Mid-Sized Office,0.9674479166666666,0.032552083333333336,0.0,1,0,,66.6,1288669.5,25.53
25666,0,1,106,4,1.0,1,9.935034668034257,0.0,3,Mixed Use Property,0.47238372093023256,0.44631782945736437,0.1187015503875969,0,0,,66.19999999999999,412562.4063,2.88
25667,0,1,110,4,1.0,1,10.460671815280136,0.0,3,Mixed Use Property,0.4291401729965057,0.3046915277539096,0.1671822191670963,0,0,,56.8,1333289.625,9.29
25670,0,1,116,4,1.0,0,9.947408739594056,0.0,3,Small- and Mid-Sized Office,0.48944824615973587,0.164281954347514,0.16270278030339283,1,0,,64.0,964923.8125,17.79
25671,0,1,106,4,1.0,1,10.517077324312647,0.0,1,Retail Store,1.0,0.0,0.0,0,0,100.0,100.0,336745.4063,2.35
25672,0,1,109,4,1.0,0,10.037450102199095,0.0,1,Small- and Mid-Sized Office,1.0,0.0,0.0,1,0,,53.6,1153690.125,20.76
25673,0,1,102,4,1.0,0,10.316953898529778,0.0,2,Retail Store,1.0649801587301588,0.02361111111111111,0.0,1,0,78.0,78.0,1264626.875,18.19
25694,0,1,60,2,1.0,1,10.260707348016298,0.0,1,Other,0.9452879031693836,0.0,0.0,0,0,,76.8,5078204.0,35.4
25709,0,1,114,4,1.0,0,10.268165387743457,0.0,2,Hotel,0.75,0.25,0.0,1,0,,71.8,4644346.0,190.45
25711,0,1,109,4,1.0,0,10.268165387743457,0.0,1,Restaurant,1.0,0.0,0.0,1,0,,48.800000000000004,899924.1875,29.21
25713,0,1,43,1,1.0,0,10.468886585227278,0.0,2,Small- and Mid-Sized Office,0.6882279415942276,0.25927504119084144,0.0,0,0,2.0,2.0,3605755.5,25.14
25743,0,1,112,4,1.0,1,10.110542371500753,0.0,1,Worship Facility,1.0,0.0,0.0,1,0,69.0,69.0,331059.5,5.66
25745,0,1,122,4,1.0,0,10.796530128090472,0.0,3,Worship Facility,0.5880245649948823,0.08853633572159672,0.07574206755373593,1,1,,71.8,1063480.5,65.05
25772,0,1,61,2,0.0,0,10.912612674702702,0.0,1,Hospital,2.0,0.0,0.0,0,0,100.0,100.0,2037720.625,14.21
25839,0,1,58,2,1.0,0,10.12667110305036,0.0,3,Warehouse,0.53572,0.3,0.16428,1,0,,50.800000000000004,1989103.875,65.89
25842,0,1,62,2,1.0,0,10.12667110305036,0.0,2,Warehouse,0.96,0.04,0.0,1,0,,72.6,287132.5,8.61
25844,0,1,95,3,1.0,0,10.026722366870757,0.0,1,Other,1.0167093979312174,0.0,0.0,1,0,,55.0,774075.6875,26.56
25847,0,1,105,4,1.0,0,10.223576309906816,0.0,2,Small- and Mid-Sized Office,0.811973569561429,0.1359279697937845,0.0,1,0,94.0,94.0,1031667.5,17.41
25886,0,1,33,1,1.0,3,10.766715003467674,0.0,4,Small- and Mid-Sized Office,0.5459031951913951,0.1476326057154909,0.12048929663608562,0,0,,70.8,1478979.25,10.31
25907,0,1,61,2,1.0,0,10.041552403492023,0.0,1,Other,1.0,0.0,0.0,1,0,,83.2,2266983.0,95.38
25914,0,1,24,0,1.0,0,10.70862323504412,0.0,2,Supermarket / Grocery Store,1.0,0.0,0.0,1,0,17.0,17.0,14585813.0,393.07
25932,0,1,74,2,1.0,0,10.033594337881343,0.0,5,Mixed Use Property,0.9304592150320484,0.567345684432347,0.1633154798489771,1,0,,67.0,2470566.0,120.86
25935,0,1,66,2,1.0,1,9.978734161910666,0.0,2,Worship Facility,0.9763472776180318,0.018551154809386884,0.0,1,0,20.0,20.0,866806.0,37.28
25954,0,1,63,2,1.0,0,10.15634523383373,0.0,1,Other,1.0,0.0,0.0,1,0,,81.6,1378130.25,62.51
25955,0,1,94,3,1.0,0,11.174385091226979,0.0,1,Other,1.0,0.0,0.0,1,0,,33.00000000000001,22767828.0,861.85
25992,0,1,13,0,1.0,3,14.003375886287618,12.215319758886837,4,Mixed Use Property,0.2646630810412126,0.1500385358051497,0.14685871033505432,1,0,87.0,87.0,27684480.0,393.29
26002,0,1,54,2,1.0,0,10.094149233605084,0.0,2,Worship Facility,1.0,0.0,0.0,1,0,73.0,73.0,826488.6875,22.38
26040,0,1,28,1,1.0,0,11.106625008055381,0.0,1,Self-Storage Facility,1.0016514036931392,0.0,0.0,1,0,,46.400000000000006,640377.0,18.81
26233,0,1,72,2,1.0,0,10.491301994830229,0.0,2,Other,0.9444444444444444,0.03888888888888889,0.0,1,0,,67.4,3646053.75,58.79
26098,0,1,84,3,1.0,1,10.052898445872824,0.0,1,K-12 School,0.6461975712686245,0.0,0.0,1,0,62.0,62.0,1219863.125,55.06
26115,0,1,98,3,1.0,1,10.10548918009691,0.0,6,Mixed Use Property,0.30646347442392546,0.2399084817780683,0.219602876286975,1,0,,77.39999999999999,2662054.25,91.69
26119,0,1,112,4,0.0,1,10.11662117122102,0.0,3,Retail Store,0.7773737373737374,0.08282828282828283,0.050505050505050504,1,0,,79.6,782343.8125,28.07
26125,0,1,118,4,1.0,0,11.002116507732017,0.0,1,K-12 School,0.81305,0.0,0.0,1,0,52.0,52.0,3625407.5,121.63
26126,0,1,68,2,1.0,1,10.748518559837908,0.0,1,Other,1.0,0.0,0.0,1,0,,49.4,690557.6875,17.31
26139,0,1,42,1,1.0,0,10.32249389621096,0.0,2,Other,0.8221520652459879,0.17784793475401212,0.0,0,0,61.0,61.0,1440554.25,10.04
26146,0,1,102,4,1.0,0,10.312612621475779,0.0,2,Small- and Mid-Sized Office,0.9432395629213857,0.239131156796971,0.0,1,0,89.0,89.0,1465795.75,34.03
26154,0,1,62,2,1.0,1,10.145727599541326,0.0,1,Small- and Mid-Sized Office,1.0,0.0,0.0,1,0,92.0,92.0,917100.3125,38.59
26183,0,1,110,4,1.0,1,10.232395537922137,0.0,2,Small- and Mid-Sized Office,1.173528141643875,0.17539945300129553,0.0,1,0,73.0,73.0,2119806.25,35.99
26218,0,1,32,1,1.0,2,10.638376304675711,9.057771773331575,1,Hotel,1.0,0.0,0.0,1,0,73.0,73.0,1943899.25,58.52
26235,0,1,81,3,1.0,1,10.0134624057447,0.0,1,Warehouse,0.9406916323239563,0.0,0.0,1,0,53.0,52.99999999999999,588856.125,22.33
26236,0,1,76,3,1.0,1,10.353320361711043,0.0,1,Other,1.0204081632653061,0.0,0.0,1,0,,50.6,1725108.25,39.65
26237,0,1,75,0,1.0,0,10.32538359710204,0.0,3,Mixed Use Property,0.4703567681007345,0.33683105981112277,0.2627229800629591,1,0,,62.2,1992158.25,46.01
26254,0,1,100,0,1.0,0,10.225607282932941,0.0,2,Small- and Mid-Sized Office,0.4773550724637681,0.33242753623188404,0.0,1,0,84.0,84.0,1072151.375,12.57
26331,0,1,25,0,0.0,0,10.363661781116345,8.903679332926599,4,Small- and Mid-Sized Office,0.8182478066022849,0.21302783563718994,0.11812787982074102,0,0,35.0,35.0,2305643.5,16.07
26348,0,1,41,1,1.0,0,10.192231560934287,8.705331133531631,2,Small- and Mid-Sized Office,0.9333183486925901,0.17681876077021053,0.0,0,0,92.0,92.0,720170.6875,5.02
26359,0,1,50,0,1.0,0,10.288783966353765,0.0,1,Warehouse,0.8503401360544217,0.0,0.0,0,0,69.0,69.0,227509.5,1.59
26379,0,1,30,1,1.0,0,10.019179514532201,0.0,1,Hotel,1.0,0.0,0.0,1,0,85.0,85.0,1244150.0,41.88
26392,0,1,110,4,1.0,1,10.156888691011035,0.0,1,Other,0.6766018550859627,0.0,0.0,0,0,22.0,22.0,1581352.75,11.02
26393,0,1,69,2,1.0,2,10.431494724510879,0.0,2,Retail Store,0.4301091123562371,0.4264818637570038,0.0,1,0,75.0,75.0,1822834.25,38.21
26396,0,1,95,3,1.0,1,11.2696047162172,0.0,4,Worship Facility,0.7959082154564355,0.1267840971416181,0.06326449917730641,1,0,,65.39999999999999,2462408.25,87.41
26460,0,1,43,1,1.0,1,11.273614421243842,0.0,4,Warehouse,0.5243533716144113,0.37348188424208545,0.07975506885512475,1,0,38.0,38.0,4103800.75,48.13
26465,0,1,112,4,1.0,1,10.413342705547674,0.0,1,K-12 School,0.9231231231231232,0.0,0.0,1,0,92.0,92.0,1594733.625,69.2
26473,0,1,65,2,1.0,0,10.268443117306083,0.0,1,Supermarket / Grocery Store,1.082129963898917,0.0,0.0,1,0,29.0,28.999999999999996,9232576.0,226.73
26528,0,1,65,2,1.0,0,10.23878052266729,8.854379458771108,2,Small- and Mid-Sized Office,0.74955302867768,0.25044697132231997,0.0,0,0,58.0,57.99999999999999,1100499.75,7.67
26529,0,1,72,2,1.0,0,10.174544693464336,0.0,2,Supermarket / Grocery Store,0.984824220239457,0.0,0.0,1,0,37.0,37.0,7588060.5,156.18
26535,0,1,46,1,1.0,1,10.461645134949325,9.664976524090797,2,Mixed Use Property,0.5489012246766625,0.5489012246766625,0.0,0,0,17.0,17.0,1159807.125,8.09
26587,0,1,24,0,1.0,0,10.535822593699315,9.210340371976184,2,Small- and Mid-Sized Office,0.5428943383192965,0.20077579106777543,0.0,0,0,,38.00000000000001,6197824.5,43.21
26594,0,1,122,4,1.0,0,9.972127028252816,0.0,5,Other,0.4864612511671335,0.2334267040149393,0.09337068160597572,1,0,,71.8,810636.875,9.72
26596,0,1,122,4,1.0,0,9.946594933570061,0.0,1,Small- and Mid-Sized Office,1.0,0.0,0.0,0,0,94.0,94.0,683274.0,4.76
26600,0,1,56,2,1.0,0,10.165890277802454,0.0,2,Mixed Use Property,0.5,0.5,0.0,1,0,,57.79999999999999,1063035.875,18.62
26601,0,1,122,4,1.0,0,10.562974531603437,0.0,2,Small- and Mid-Sized Office,0.31286360698125404,0.11069166127989657,0.0,1,0,,77.0,1938776.75,43.91
26602,0,1,93,3,1.0,2,10.81881782331516,0.0,2,Small- and Mid-Sized Office,0.6414085804088007,0.4811715481171548,0.0,1,1,,55.39999999999999,5134446.0,185.33
26611,0,1,12,0,1.0,1,10.161264387744689,0.0,1,Medical Office,1.0,0.0,0.0,1,0,8.0,8.0,1941728.75,19.81
26657,0,1,95,3,1.0,0,10.621668750815715,0.0,2,Worship Facility,0.7826298978372711,0.05632360471070148,0.0,1,0,,86.39999999999999,1080821.0,37.43
26667,0,1,18,0,1.0,1,9.955890231329176,0.0,2,Other,0.8576512455516014,0.1423487544483986,0.0,1,0,,58.400000000000006,1581036.75,53.88
26670,0,1,72,2,1.0,0,10.746906470974373,0.0,1,Worship Facility,1.3751102506184791,0.0,0.0,1,0,83.0,83.0,1544995.75,47.03
26681,0,1,57,2,1.0,2,10.94899789464713,0.0,2,Small- and Mid-Sized Office,0.7165354330708661,0.28346456692913385,0.0,1,0,96.0,96.0,1402048.5,28.46
26695,0,1,44,1,1.0,1,10.221977646629885,0.0,1,Worship Facility,1.0,0.0,0.0,1,0,60.0,60.0,577123.125,14.79
26705,0,1,92,3,1.0,1,10.508650155427521,0.0,2,Small- and Mid-Sized Office,0.6006006006006006,0.3003003003003003,0.0,0,0,90.0,90.0,541943.3125,3.78
26706,0,1,122,4,0.0,0,10.197313214435868,0.0,2,Small- and Mid-Sized Office,0.6275810659709281,0.37271710771524413,0.0,1,0,,76.4,2099386.75,60.93
26708,0,1,116,4,1.0,0,10.64354217367223,0.0,1,Small- and Mid-Sized Office,1.0,0.0,0.0,0,0,95.0,95.0,1103594.75,7.69
26710,0,1,117,4,1.0,0,10.51542467767053,0.0,1,Small- and Mid-Sized Office,1.1930909189511647,0.0,0.0,1,0,92.0,92.0,1537570.25,26.94
26719,0,1,117,4,0.0,1,10.423500840161113,0.0,1,Small- and Mid-Sized Office,0.8121878715814507,0.0,0.0,0,0,70.0,70.0,1078535.75,7.52
26720,0,1,116,4,1.0,2,10.680171330023866,0.0,3,Warehouse,0.6074878116088677,0.2191840677030632,0.1733281206880692,0,0,18.0,18.0,1567040.75,10.92
26726,0,1,122,4,1.0,0,10.02042578700401,0.0,3,Mixed Use Property,0.4804270462633452,0.4804270462633452,0.3202846975088968,0,0,,72.6,981009.125,6.84
26728,0,1,97,3,1.0,2,10.404838432339576,0.0,2,Hotel,0.7024350354352171,0.18671633654370343,0.0,1,0,49.0,49.0,4857581.5,173.67
26731,0,1,52,2,1.0,1,10.185315020186113,0.0,1,Small- and Mid-Sized Office,1.161825726141079,0.0,0.0,1,0,91.0,91.0,987063.6875,11.18
26759,0,1,84,3,1.0,0,10.597359470410531,0.0,3,Warehouse,0.8299690216848207,0.2550214849605276,0.1548915758968722,1,0,80.0,80.0,942415.1875,6.76
26761,0,1,15,0,1.0,0,10.703491628618904,9.810769011532921,2,Small- and Mid-Sized Office,0.5904740507751067,0.40952594922489327,0.0,0,0,23.0,23.0,2188051.25,15.25
26773,0,1,68,2,1.0,0,9.98160533180008,0.0,1,Worship Facility,1.0,0.0,0.0,1,0,90.0,90.0,666687.5,20.96
